HAM ; Льюис Хэмильтон ; Льюиса Хэмильтона ; Льюису Хэмильтону
RAI ; Кими Райкконен ; Кими Райкконена ; Кими Райкконену
MAS ; Филипе Масса ; Филипе Масса ; Филипе Масса
ALO ; Фернандо Алонсо ; Фернандо Алонсо ; Фернандо Алонсо
LIU ; Витантонио Лиуцци; Витантонио Лиуцци ; Витантонио Лиуцци
COU ; Давид Култхард ; Давида Култхарда ; Давиду Култхарду
RSC ; Ральф Шумахер ; Ральфа Шумахера ; Ральфу Шумахеру
HEI ; Ник Хэйдфельд ; Ника Хэйдфельда ; Нику Хэйдфельду
WEB ; Марк Веббер ; Марка Веббера ; Марку Вебберу
KUB ; Роберто Кубика ; Роберто Кубика ; Роберто Кубика
KOV ; Хекки Ковалайнен ; Хекки Ковалайнена ; Хекки Ковалайнену
BUT ; Дженсон Баттон ; Дженсона Баттона ; Дженсону Баттону
WET ; Себастьян Феттель ; Себастьяна Феттеля ; Себастьяну Феттелю
TRU ; Джарно Трулли ; Джарно Трулли ; Джарно Трулли
DAV ; Энтони Дэвидсон ; Энтони Дэвидсона ; Энтони Дэвидсону
BAR ; Рубенс Барричелло ; Рубенса Барричелло ; Рубенсу Барричелло
SAT ; Такума Сато ; Такума Сато ; Такуме Сато
WUR ; Александер Вурц ; Александера Вурца ; Александеру Вурцу
FIS ; Джанкарло Фисичелла ; Джанкарло Фисичелла ; Джанкарло Фисичелла
ROS ; Нико Росберг ; Нико Росберга ; Нико Росбергу
SUT ; Адриан Сутил ; Адриана Сутила ; Адриану Сутилу
YAM ; Сакон Ямамото ; Сакона Ямамото ; Сакону Ямамото
